Alpha-3 code	Cancer code	Population code (ISO/UN)	Country	Label	Sex	Number	95% UI low	95% UI high	Number	ASR (World)	Crude rate	Cumulative risk
ZWE	23	716	716	Zimbabwe	2	3520	3287	3769	3520	68.2	44.0	7.4
ZMB	23	894	894	Zambia	2	3640	3395	3903	3640	71.5	37.0	7.7
YEM	23	887	887	Yemen	2	212	166	271	212	2.1	1.4	0.26
VNM	23	704	704	Viet Nam	2	4612	4353	4886	4612	7.1	9.3	0.80
VEN	23	862	862	Venezuela	2	3965	3321	4734	3965	22.7	26.7	2.3
VUT	23	548	548	Vanuatu	2	23	18	29	23	18.2	14.5	1.8
UZB	23	860	860	Uzbekistan	2	2654	2147	3280	2654	14.8	15.4	1.6
URY	23	858	858	Uruguay	2	377	312	456	377	15.9	20.9	1.6
USA	23	840	840	United States of America	2	13920	13486	14368	13920	6.3	8.2	0.61
GBR	23	826	826	United Kingdom	2	3235	3021	3464	3235	7.5	9.3	0.66
ARE	23	784	784	United Arab Emirates	2	138	101	189	138	5.7	4.4	0.65
UKR	23	804	804	Ukraine	2	5163	4829	5520	5163	15.2	22.3	1.5
UGA	23	800	800	Uganda	2	6938	6591	7303	6938	53.8	28.3	5.7
TUR	23	792	792	Türkiye	2	2593	2399	2802	2593	4.8	6.0	0.51
TKM	23	795	795	Turkmenistan	2	451	110	1844	451	14.1	14.3	1.5
TUN	23	788	788	Tunisia	2	414	322	533	414	5.3	6.8	0.59
TTO	23	780	780	Trinidad and Tobago	2	192	101	364	192	18.3	26.9	1.9
TGO	23	768	768	Togo	2	511	410	637	511	19.1	11.7	2.2
TLS	23	626	626	Timor-Leste	2	77	57	105	77	14.8	11.4	1.5
GMB	23	270	270	The Republic of the Gambia	2	325	255	415	325	39.4	25.2	3.8
NLD	23	528	528	The Netherlands	2	756	673	849	756	6.7	8.8	0.61
THA	23	764	764	Thailand	2	8662	8294	9046	8662	14.9	24.1	1.6
TZA	23	834	834	Tanzania, United Republic of	2	10868	10378	11381	10868	64.8	34.3	7.1
TJK	23	762	762	Tajikistan	2	277	160	481	277	6.6	5.6	0.66
SYR	23	760	760	Syrian Arab Republic	2	206	108	393	206	2.5	2.1	0.30
CHE	23	756	756	Switzerland	2	269	185	392	269	4.1	6.1	0.40
SWE	23	752	752	Sweden	2	561	440	716	561	8.6	11.0	0.77
