GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE,REGION,HPV_INT_DOSES
COUNTRIES,ALB,Albania,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,15681,6771.0,43.0,EUR,1 dose
COUNTRIES,AND,Andorra,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,92.0,EUR,2 doses (6 months)
COUNTRIES,ATG,Antigua and Barbuda,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,2.0,AMR,2 doses (6 months)
COUNTRIES,ARG,Argentina,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,361147,199364.0,55.0,AMR,1 dose
COUNTRIES,ARM,Armenia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,19330,7341.0,38.0,EUR,1 dose
COUNTRIES,AUS,Australia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,160411,117843.0,73.0,WPR,1 dose
COUNTRIES,AUT,Austria,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,41959,22394.0,53.0,EUR,2 doses (6 months)
COUNTRIES,AZE,Azerbaijan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,Not yet introduced
COUNTRIES,BHS,Bahamas,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,2634,652.0,25.0,AMR,
COUNTRIES,BHR,Bahrain,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,9573,7046.0,74.0,EMR,2 doses (6 months)
COUNTRIES,BGD,Bangladesh,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,6483338,5857586.0,90.0,SEAR,1 dose
COUNTRIES,BRB,Barbados,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,1622,704.0,43.0,AMR,1 dose
COUNTRIES,BLR,Belarus,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,0.0,EUR,2 doses (6 months)
COUNTRIES,BEL,Belgium,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,80.0,EUR,2 doses (6 months)
COUNTRIES,BLZ,Belize,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,3691,2276.0,62.0,AMR,1 dose
COUNTRIES,BTN,Bhutan,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,6168,5772.0,94.0,SEAR,1 dose
COUNTRIES,BOL,Bolivia,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,120177,94292.0,78.0,AMR,1 dose
COUNTRIES,BIH,Bosnia and Herzegovina,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,14550,492.0,3.0,EUR,2 doses (6 months)
COUNTRIES,BWA,Botswana,2024.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,,,93.0,AFR,2 doses (6 months)
