GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER	DOSES	COVERAGE
COUNTRIES	ALB	Albania	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			43
COUNTRIES	ALB	Albania	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	AND	Andorra	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			82
COUNTRIES	AND	Andorra	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	ATG	Antigua and Barbuda	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			1
COUNTRIES	ATG	Antigua and Barbuda	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			0
COUNTRIES	ARG	Argentina	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			55
COUNTRIES	ARG	Argentina	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			51
COUNTRIES	ARM	Armenia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	19460	6007	31
COUNTRIES	ARM	Armenia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	AUS	Australia	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			73
COUNTRIES	AUS	Australia	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			70
COUNTRIES	AUT	Austria	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	41959	13029	31
COUNTRIES	AUT	Austria	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	44642	10579	24
COUNTRIES	AZE	Azerbaijan	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	AZE	Azerbaijan	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BHS	Bahamas	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	2634	88	3
COUNTRIES	BHS	Bahamas	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	2691	82	3
COUNTRIES	BHR	Bahrain	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	BHR	Bahrain	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BGD	Bangladesh	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6483338	5857586	90
COUNTRIES	BGD	Bangladesh	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BRB	Barbados	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			43
COUNTRIES	BRB	Barbados	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			43
COUNTRIES	BLR	Belarus	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			
COUNTRIES	BLR	Belarus	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			
COUNTRIES	BEL	Belgium	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates			72
COUNTRIES	BEL	Belgium	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates			65
COUNTRIES	BLZ	Belize	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	3691	2276	62
COUNTRIES	BLZ	Belize	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	3866	2034	53
COUNTRIES	BTN	Bhutan	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	6168	5647	92
COUNTRIES	BTN	Bhutan	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	6803	5551	82
COUNTRIES	BOL	Bolivia (Plurinational State of)	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	120177	94292	78
COUNTRIES	BOL	Bolivia (Plurinational State of)	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	124326	69121	56
COUNTRIES	BIH	Bosnia and Herzegovina	2024	PRHPVC_F	HPV Vaccination program coverage, last dose, females	HPV	HPV Estimates	14550	1360	9
COUNTRIES	BIH	Bosnia and Herzegovina	2024	PRHPVC_M	HPV Vaccination program coverage, last dose, males	HPV	HPV Estimates	15668	500	3
